,Registeration_year,Name,Manufacturer,distance_travelled,fuel_used,gear_change,final_prices,years_old
0,2017,Honda City i-VTEC CVT ZX,Honda,57826,Petrol,Automatic,890000,6
1,2019,Honda City i-VTEC VX,Honda,38409,Petrol,Manual,940000,4
2,2017,Honda City i-VTEC CVT ZX,Honda,27914,Petrol,Automatic,945000,6
3,2021,Hyundai Venue SX Plus Turbo DCT,Hyundai,8639,Petrol,Automatic,1260000,2
4,2020,Renault Triber RXL,Renault,43737,Petrol,Manual,590000,3
5,2021,Hyundai Venue SX Plus Turbo DCT,Hyundai,11069,Petrol,Automatic,1185000,2
6,2018,Honda City i-VTEC CVT ZX,Honda,73971,Petrol,Automatic,969000,5
7,2015,,Maruti,25000,,,500000,8
8,2017,Maruti Swift Dzire AMT ZDI,Maruti,105911,Diesel,Automatic,639000,6
9,2021,Hyundai Venue SX Turbo,Hyundai,19108,Petrol,Manual,999000,2
10,2018,Hyundai Verna VTVT 1.6 SX,Hyundai,37842,Petrol,Manual,899000,5
11,2019,Hyundai Verna VTVT 1.6 SX,Hyundai,18072,Petrol,Manual,925000,4
12,2017,Maruti Swift Dzire ZXI,Maruti,30057,Petrol,Manual,649000,6
13,2018,Hyundai i20 1.2 Asta,Hyundai,53608,Petrol,Manual,699000,5
14,2021,Toyota Glanza G,Toyota,17790,Petrol,Manual,799000,2
15,2015,,Maruti,25000,,,500000,8
16,2022,BMW X1 sDrive20i xLine,BMW,10000,Petrol,Automatic,4000000,1
17,2017,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,96000,Diesel,Manual,535000,6
18,2016,Audi Q7 45 TDI Quattro Technology,Audi,75000,Diesel,Automatic,4650000,7
19,2017,Honda Brio 1.2 VX AT,Honda,45000,Petrol,Automatic,649000,6
20,2017,BMW 7 Series 730Ld DPE Signature,BMW,47000,Diesel,Automatic,6150000,6
21,2012,Skoda Rapid 1.6 TDI Elegance,Skoda,96000,Diesel,Manual,330000,11
22,2020,Hyundai Grand i10 Nios Sportz,Hyundai,24154,Petrol,Manual,669000,3
23,2015,,Maruti,25000,,,500000,8
24,2020,Hyundai Grand i10 Nios Magna Corp Edition,Hyundai,38985,Petrol,Manual,578000,3
25,2018,Hyundai Verna VTVT 1.6 SX Option,Hyundai,36006,Petrol,Manual,907000,5
26,2020,Honda City VX MT,Honda,25213,Petrol,Manual,1125000,3
27,2021,Mahindra XUV300 W8 AMT Diesel,Mahindra,9678,Diesel,Automatic,1226000,2
28,2017,Honda City i-VTEC V,Honda,60477,Petrol,Manual,750000,6
29,2018,Hyundai i20 1.2 Magna Executive,Hyundai,75141,Petrol,Manual,549000,5
30,2013,Hyundai EON Era Plus,Hyundai,45840,Petrol,Manual,249000,10
31,2015,,Maruti,25000,,,500000,8
32,2017,Renault KWID Climber 1.0 AMT,Renault,51325,Petrol,Automatic,375000,6
33,2021,Hyundai Grand i10 Nios Sportz,Hyundai,20752,Petrol,Manual,699000,2
34,2014,Maruti Ritz VXi,Maruti,41050,Petrol,Manual,328000,9
35,2017,Maruti Alto K10 VXI,Maruti,61714,Petrol,Manual,368000,6
36,2013,Hyundai Grand i10 Asta,Hyundai,35315,Petrol,Manual,360000,10
37,2019,Maruti Ciaz Alpha BSIV,Maruti,7342,Petrol,Manual,926000,4
